neuron,label,count
266,Pullover,2
266,Coat,1
1886,Bag,6
1886,Shirt,1
1886,Pullover,3
1451,T-shirt/top,1
1451,Bag,7
1451,Pullover,2
223,Bag,2
223,Shirt,2
223,T-shirt/top,2
223,Pullover,3
223,Ankle boot,1
167,Bag,8
167,Pullover,1
167,Shirt,1
1715,Pullover,3
1715,Bag,5
1715,Shirt,1
1715,Coat,1
1263,Pullover,3
1263,Bag,6
1263,Coat,1
411,Bag,7
411,T-shirt/top,1
411,Trouser,2
1226,Bag,6
1226,Pullover,1
1226,T-shirt/top,1
1226,Trouser,1
1226,Coat,1
454,Bag,6
454,T-shirt/top,1
454,Pullover,2
454,Shirt,1
2115,Bag,6
2115,Pullover,4
1999,Bag,4
1999,Pullover,3
1999,Coat,1
1999,Shirt,1
1999,T-shirt/top,1
710,Bag,5
710,T-shirt/top,2
710,Trouser,1
710,Pullover,2
1162,Bag,6
1162,Pullover,3
1162,Trouser,1
1921,Bag,5
1921,Pullover,3
1921,Trouser,1
1921,Shirt,1
755,Shirt,1
755,Pullover,5
755,Bag,2
755,Coat,1
755,Dress,1
1127,Bag,6
1127,T-shirt/top,1
1127,Pullover,3
10,T-shirt/top,1
10,Bag,6
10,Pullover,1
10,Shirt,2
299,Bag,7
299,Trouser,1
299,Pullover,1
299,Shirt,1
648,Bag,7
648,Pullover,2
648,Shirt,1
165,Bag,6
165,Pullover,2
165,Shirt,1
165,T-shirt/top,1
1717,Pullover,3
1717,Bag,5
1717,Trouser,1
1717,Shirt,1
120,Bag,6
120,Pullover,2
120,Trouser,1
120,T-shirt/top,1
1383,Bag,3
1383,Pullover,4
1383,T-shirt/top,2
1383,Shirt,1
1752,Pullover,4
1752,Bag,5
1752,Shirt,1
549,Shirt,1
549,Bag,5
549,T-shirt/top,1
549,Coat,1
549,Pullover,1
549,Dress,1
1416,Pullover,2
1416,Bag,5
1416,Shirt,1
1416,T-shirt/top,2
221,Trouser,1
221,Bag,7
221,Shirt,1
221,Pullover,1
1306,Pullover,4
1306,Bag,6
574,Bag,2
574,Shirt,2
574,T-shirt/top,4
574,Dress,2
1792,Bag,5
1792,Trouser,1
1792,Pullover,3
1792,T-shirt/top,1
259,Bag,5
259,Pullover,3
259,T-shirt/top,1
259,Shirt,1
675,Pullover,3
675,Coat,1
675,Bag,5
675,Shirt,1
1844,Bag,4
1844,Pullover,3
1844,Trouser,1
1844,T-shirt/top,1
1844,Shirt,1
630,Bag,7
630,Pullover,1
630,Trouser,1
630,Shirt,1
1801,Shirt,1
1801,Bag,3
1801,Pullover,6
158,Shirt,4
158,Pullover,5
158,Trouser,1
768,Pullover,5
768,Bag,3
768,Shirt,1
768,T-shirt/top,1
2190,Bag,6
2190,Trouser,1
2190,Coat,1
2190,Pullover,2
494,Pullover,3
494,Coat,1
494,Shirt,1
494,Bag,3
494,Trouser,1
494,Dress,1
1637,Bag,5
1637,Pullover,3
1637,Trouser,1
1637,T-shirt/top,1
469,Bag,2
469,Pullover,7
469,Shirt,1
2291,Bag,3
2291,Pullover,4
2291,T-shirt/top,1
2291,Shirt,1
2291,Trouser,1
301,Bag,1
301,T-shirt/top,2
301,Dress,2
301,Pullover,2
301,Shirt,3
1536,Bag,5
1536,Pullover,3
1536,Shirt,1
1536,Coat,1
795,Bag,5
795,Pullover,3
795,T-shirt/top,1
795,Shirt,1
280,Bag,6
280,Trouser,1
280,Shirt,1
280,Pullover,1
280,T-shirt/top,1
1066,Shirt,2
1066,Pullover,1
1066,Dress,2
1066,Coat,1
1066,Bag,2
1066,T-shirt/top,1
1066,Ankle boot,1
2011,Pullover,5
2011,Shirt,1
2011,Bag,4
181,Bag,6
181,Trouser,1
181,Shirt,1
181,Pullover,1
181,T-shirt/top,1
987,Bag,6
987,Pullover,2
987,Shirt,1
987,T-shirt/top,1
1367,Pullover,1
1367,Bag,8
1367,T-shirt/top,1
515,Bag,4
515,Pullover,1
515,T-shirt/top,2
515,Shirt,1
515,Dress,1
515,Coat,1
1186,Trouser,1
1186,Pullover,3
1186,Bag,6
1512,Pullover,2
1512,Bag,6
1512,T-shirt/top,1
1512,Trouser,1
360,Bag,6
360,Pullover,3
360,T-shirt/top,1
408,Pullover,4
408,Bag,6
2149,Shirt,1
2149,Bag,6
2149,Pullover,3
1287,Bag,6
