neuron,label,count
1245,Bag,4
1245,Shirt,2
1245,Pullover,4
1694,Pullover,3
1694,Bag,2
1694,T-shirt/top,4
1694,Shirt,1
437,Bag,2
437,Pullover,3
437,T-shirt/top,1
437,Dress,3
437,Shirt,1
1200,Bag,7
1200,Pullover,3
472,Pullover,3
472,T-shirt/top,1
472,Shirt,5
472,Bag,1
2133,Bag,6
2133,Trouser,1
2133,Shirt,1
2133,Coat,1
2133,Pullover,1
2176,Shirt,3
2176,T-shirt/top,2
2176,Ankle boot,2
2176,Coat,1
2176,Sandal,1
2176,Pullover,1
1568,Dress,1
1568,Coat,1
1568,Shirt,2
1568,Ankle boot,1
1568,Pullover,2
1568,Bag,2
1568,Trouser,1
736,Dress,2
736,T-shirt/top,6
736,Shirt,2
1595,T-shirt/top,8
1595,Shirt,2
1144,Pullover,3
1144,Bag,7
1907,Bag,5
1907,T-shirt/top,1
1907,Pullover,3
1907,Trouser,1
773,Ankle boot,1
773,Dress,1
773,T-shirt/top,6
773,Sandal,1
773,Shirt,1
1101,Shirt,2
1101,T-shirt/top,7
1101,Dress,1
1942,T-shirt/top,5
1942,Ankle boot,4
1942,Sandal,1
2232,Pullover,3
2232,Bag,7
2277,Bag,7
2277,Pullover,3
36,Bag,5
36,Pullover,1
36,Shirt,2
36,T-shirt/top,2
73,Bag,6
73,Pullover,2
73,Dress,2
1669,Pullover,1
1669,Bag,7
1669,Coat,1
1669,Trouser,1
858,T-shirt/top,6
858,Pullover,2
858,Shirt,2
1059,Shirt,1
1059,T-shirt/top,8
1059,Sandal,1
1488,Pullover,4
1488,T-shirt/top,1
1488,Bag,4
1488,Coat,1
143,T-shirt/top,4
143,Pullover,1
143,Dress,5
900,T-shirt/top,5
900,Sandal,1
900,Bag,2
900,Dress,2
1731,T-shirt/top,7
1731,Dress,1
1731,Bag,1
1731,Pullover,1
592,Pullover,2
592,Bag,6
592,Trouser,1
592,Shirt,1
106,T-shirt/top,1
106,Bag,6
106,Pullover,3
945,Trouser,1
945,Coat,1
945,Shirt,1
945,Pullover,2
945,T-shirt/top,2
945,Bag,3
1774,Shirt,2
1774,Pullover,2
1774,T-shirt/top,5
1774,Bag,1
2096,Bag,6
2096,T-shirt/top,1
2096,Trouser,1
2096,Sandal,1
2096,Dress,1
1789,Dress,8
1789,Trouser,1
1789,Sandal,1
1358,T-shirt/top,3
1358,Dress,5
1358,Shirt,1
1358,Trouser,1
693,Pullover,3
693,Bag,6
693,T-shirt/top,1
1430,Bag,5
1430,T-shirt/top,1
1430,Pullover,4
242,T-shirt/top,1
242,Bag,7
242,Shirt,1
242,Pullover,1
1475,Pullover,1
1475,T-shirt/top,2
1475,Dress,6
1475,Trouser,1
207,Ankle boot,4
207,Shirt,1
207,Bag,1
207,Pullover,2
207,T-shirt/top,2
2056,Pullover,5
2056,Bag,2
2056,Shirt,1
2056,Trouser,1
2056,Coat,1
2013,Pullover,2
2013,Trouser,1
2013,Bag,3
2013,Coat,1
2013,T-shirt/top,3
1320,Ankle boot,6
1320,T-shirt/top,2
1320,Sandal,1
1320,Pullover,1
183,Bag,4
183,Shirt,2
183,Pullover,2
183,Trouser,1
183,Dress,1
552,Shirt,1
552,Bag,2
552,Dress,7
985,Pullover,3
985,Bag,4
985,T-shirt/top,2
985,Shirt,1
1365,Bag,3
1365,Trouser,1
1365,Pullover,3
1365,T-shirt/top,2
1365,Dress,1
517,T-shirt/top,2
517,Shirt,2
517,Coat,1
517,Pullover,5
1099,Bag,4
1099,Pullover,4
1099,Coat,1
1099,T-shirt/top,1
1448,T-shirt/top,5
1448,Shirt,1
1448,Dress,1
1448,Bag,2
1448,Pullover,1
653,Ankle boot,2
653,Dress,1
653,Bag,1
653,Pullover,4
653,Trouser,2
1862,Pullover,8
1862,Bag,1
1862,T-shirt/top,1
282,Bag,8
282,Trouser,1
282,Pullover,1
1021,T-shirt/top,4
1021,Pullover,1
1021,Shirt,2
1021,Dress,1
1021,Coat,1
1021,Trouser,1
616,Pullover,2
616,T-shirt/top,2
616,Ankle boot,4
616,Dress,1
616,Trouser,1
1827,Shirt,2
1827,Pullover,2
1827,T-shirt/top,3
1827,Dress,2
1827,Bag,1
1064,Bag,6
1064,Pullover,2
1064,Trouser,1
1064,Coat,1
