neuron,label,count
437,T-shirt/top,1
437,Pullover,4
437,Bag,5
2133,Bag,6
2133,Pullover,2
2133,T-shirt/top,1
2133,Trouser,1
2277,Bag,6
2277,Pullover,3
2277,Trouser,1
945,Bag,6
945,Pullover,3
945,T-shirt/top,1
1774,Bag,5
1774,T-shirt/top,2
1774,Shirt,1
1774,Pullover,1
1774,Ankle boot,1
1320,Bag,6
1320,Pullover,3
1320,T-shirt/top,1
653,Bag,5
653,Trouser,1
653,Pullover,4
1021,Pullover,2
1021,Bag,6
1021,Shirt,1
1021,Coat,1
1749,Bag,4
1749,Pullover,4
1749,T-shirt/top,1
1749,Shirt,1
1179,Bag,6
1179,Pullover,4
1654,Bag,4
1654,Pullover,3
1654,Shirt,1
1654,Coat,1
1654,T-shirt/top,1
1982,T-shirt/top,1
1982,Pullover,3
1982,Bag,6
1803,Bag,5
1803,Pullover,3
1803,Trouser,1
1803,Shirt,1
1304,Bag,4
1304,Pullover,4
1304,T-shirt/top,1
1304,Shirt,1
1341,Pullover,4
1341,Bag,5
1341,T-shirt/top,1
2293,Pullover,2
2293,Bag,7
2293,T-shirt/top,1
1160,Bag,8
1160,Pullover,1
1160,Shirt,1
2216,Bag,4
2216,Trouser,1
2216,Pullover,4
2216,Shirt,1
1414,Bag,7
1414,Shirt,1
1414,T-shirt/top,1
1414,Pullover,1
167,Pullover,2
167,Bag,6
167,T-shirt/top,1
167,Shirt,1
1715,Bag,6
1715,Pullover,2
1715,Trouser,1
1715,T-shirt/top,1
1263,Bag,6
1263,Pullover,2
1263,T-shirt/top,1
1263,Trouser,1
411,Bag,6
411,Pullover,3
411,T-shirt/top,1
454,Pullover,2
454,Bag,6
454,Trouser,1
454,Shirt,1
1717,Bag,7
1717,Pullover,2
1717,Trouser,1
1416,Trouser,1
1416,Bag,7
1416,Pullover,2
221,Bag,5
221,Pullover,3
221,Trouser,1
221,T-shirt/top,1
574,Bag,5
574,T-shirt/top,1
574,Pullover,2
574,Coat,1
574,Shirt,1
675,Pullover,3
675,Bag,5
675,T-shirt/top,1
675,Shirt,1
158,Pullover,1
158,Bag,7
158,Trouser,1
158,T-shirt/top,1
1536,Bag,5
1536,Pullover,3
1536,Shirt,1
1536,Trouser,1
2011,Bag,8
2011,Trouser,1
2011,Pullover,1
987,Pullover,1
987,T-shirt/top,1
987,Bag,6
987,Coat,1
987,Shirt,1
1512,Bag,5
1512,Pullover,3
1512,Shirt,1
1512,T-shirt/top,1
2149,Pullover,2
2149,Bag,6
2149,Trouser,1
2149,Shirt,1
1656,Bag,5
1656,Pullover,4
1656,Shirt,1
1613,Pullover,2
1613,Bag,6
1613,Trouser,1
1613,T-shirt/top,1
1938,Pullover,2
1938,Bag,7
1938,Shirt,1
2248,Bag,6
2248,Trouser,1
2248,Pullover,3
1247,Bag,6
1247,Pullover,2
1247,Trouser,1
1247,T-shirt/top,1
2131,Bag,6
2131,Trouser,1
2131,Pullover,1
2131,Shirt,2
2069,Bag,6
2069,T-shirt/top,1
2069,Pullover,3
1733,Trouser,1
1733,Bag,7
1733,Pullover,1
1733,T-shirt/top,1
1818,Pullover,1
1818,Bag,8
1818,Shirt,1
1516,Pullover,4
1516,Bag,4
1516,Shirt,1
1516,T-shirt/top,1
1984,Pullover,3
1984,Bag,3
1984,Shirt,3
1984,T-shirt/top,1
364,Bag,6
364,Trouser,1
364,Pullover,2
364,Shirt,1
2108,Bag,6
2108,Pullover,3
2108,T-shirt/top,1
185,Bag,5
185,Pullover,3
185,T-shirt/top,1
185,Shirt,1
1363,Bag,7
1363,Pullover,2
1363,Trouser,1
983,Bag,6
983,Pullover,3
983,Shirt,1
511,Pullover,3
511,Bag,6
511,Shirt,1
1821,Bag,8
1821,Trouser,1
1821,Shirt,1
906,Bag,6
906,Pullover,3
906,Trouser,1
668,Bag,7
668,Trouser,1
668,Pullover,1
668,T-shirt/top,1
201,Pullover,3
201,Bag,4
201,Shirt,1
201,Coat,1
201,T-shirt/top,1
569,Bag,5
569,Pullover,3
569,Shirt,1
569,T-shirt/top,1
359,Bag,5
359,T-shirt/top,2
359,Pullover,2
359,Shirt,1
788,Bag,6
788,Pullover,3
788,Trouser,1
1206,Bag,8
1206,Pullover,2
30,Bag,6
30,Pullover,2
30,T-shirt/top,1
30,Shirt,1
489,Pullover,2
489,Bag,7
489,T-shirt/top,1
775,T-shirt/top,1
775,Pullover,4
775,Bag,5
1838,Pullover,3
1838,Shirt,1
1838,Bag,5
1838,T-shirt/top,1
922,Bag,7
922,Pullover,2
922,Trouser,1
1925,Pullover,3
1925,Bag,6
1925,T-shirt/top,1
1960,Bag,7
1960,Pullover,1
1960,Shirt,1
1960,T-shirt/top,1
2210,Bag,6
2210,Pullover,3
2210,Shirt,1
450,Bag,6
450,Pullover,3
450,Shirt,1
338,Bag,6
338,Pullover,2
338,Coat,1
338,Shirt,1
847,Bag,7
847,Pullover,2
847,Trouser,1
1302,Bag,6
1302,Pullover,2
1302,T-shirt/top,1
1302,Trouser,1
1347,Bag,5
1347,Pullover,4
1347,Trouser,1
3,Shirt,1
3,Bag,5
3,Pullover,3
3,T-shirt/top,1
307,Bag,6
307,T-shirt/top,1
307,Pullover,2
307,Trouser,1
793,Bag,6
793,Trouser,1
793,T-shirt/top,1
793,Pullover,2
1468,Bag,5
1468,Pullover,3
1468,Trouser,1
1468,T-shirt/top,1
1345,Pullover,3
1345,Bag,7
163,Bag,5
163,Pullover,3
163,Shirt,1
163,T-shirt/top,1
1711,Bag,6
1711,Pullover,1
1711,Shirt,3
965,Pullover,2
965,Bag,8
1385,Bag,6
1385,Pullover,2
1385,T-shirt/top,1
1385,Shirt,1
227,Pullover,2
227,Bag,7
227,Trouser,1
1265,Trouser,1
1265,Pullover,1
1265,Bag,8
2113,Bag,4
2113,Shirt,2
2113,Pullover,3
2113,T-shirt/top,1
1649,Bag,6
1649,Pullover,3
1649,T-shirt/top,1
1962,Bag,7
1962,Trouser,1
1962,Pullover,2
2257,Pullover,3
2257,Bag,5
2257,Shirt,1
2257,Coat,1
147,Bag,7
147,Pullover,2
147,Shirt,1
77,Bag,5
77,Pullover,3
77,T-shirt/top,1
77,Shirt,1
2172,Bag,6
2172,Pullover,2
2172,T-shirt/top,1
2172,Trouser,1
1281,Bag,5
1281,Pullover,4
1281,Coat,1
824,Bag,6
824,Pullover,3
824,T-shirt/top,1
1025,Pullover,2
1025,Bag,4
1025,Shirt,2
1025,T-shirt/top,1
1025,Dress,1
2191,Bag,5
2191,T-shirt/top,1
2191,Pullover,3
2191,Trouser,1
345,Bag,7
345,Trouser,1
345,Pullover,2
530,Bag,5
530,T-shirt/top,1
530,Trouser,1
530,Pullover,3
649,Bag,6
649,Trouser,1
649,Pullover,2
649,Shirt,1
548,Pullover,4
548,Bag,6
220,Bag,6
220,Pullover,3
220,T-shirt/top,1
1227,Pullover,3
1227,T-shirt/top,1
1227,Bag,6
410,Pullover,2
410,Bag,7
410,Trouser,1
140,Bag,5
140,Pullover,4
140,Shirt,1
770,Trouser,1
770,Bag,8
770,Pullover,1
1941,Pullover,3
1941,Bag,6
1941,Trouser,1
735,Bag,4
735,Trouser,1
735,T-shirt/top,1
735,Pullover,2
735,Shirt,2
1147,Pullover,3
1147,Bag,5
1147,T-shirt/top,1
1147,Shirt,1
2148,Bag,6
2148,Pullover,3
2148,Shirt,1
1286,Bag,6
1286,Trouser,1
1286,Pullover,2
1286,Shirt,1
2249,Bag,6
2249,Pullover,3
2249,T-shirt/top,1
138,Bag,6
138,Trouser,1
138,Pullover,2
138,T-shirt/top,1
1067,Bag,5
1067,Pullover,4
1067,Trouser,1
2010,Pullover,2
2010,Bag,7
2010,T-shirt/top,1
1610,Trouser,1
1610,Bag,7
1610,Shirt,1
1610,Pullover,1
1655,Bag,4
1655,Pullover,4
1655,Shirt,1
1655,Trouser,1
617,Bag,7
617,Trouser,1
617,T-shirt/top,1
617,Pullover,1
1489,Bag,6
1489,Pullover,4
1788,Bag,7
1788,Pullover,3
1359,Bag,6
1359,Pullover,3
1359,T-shirt/top,1
1474,Bag,5
1474,Pullover,3
1474,Coat,1
1474,Shirt,1
206,Bag,4
206,Pullover,4
206,Shirt,1
206,T-shirt/top,1
1569,Pullover,2
1569,T-shirt/top,3
1569,Trouser,1
1569,Shirt,3
1569,Bag,1
1906,Bag,7
1906,Pullover,2
1906,Trouser,1
1887,Pullover,2
1887,Bag,6
1887,T-shirt/top,1
1887,Shirt,1
1380,Bag,6
1380,Pullover,3
1380,T-shirt/top,1
123,Trouser,1
123,Bag,6
123,Shirt,1
123,Pullover,2
713,Bag,6
713,Shirt,1
713,T-shirt/top,1
713,Pullover,2
1161,Bag,6
1161,Pullover,3
1161,T-shirt/top,1
457,Bag,6
457,Trouser,1
457,Pullover,2
457,T-shirt/top,1
880,Pullover,3
880,Bag,4
880,T-shirt/top,1
880,Trouser,1
880,Coat,1
2153,Bag,7
2153,Trouser,1
2153,Shirt,1
2153,T-shirt/top,1
497,Bag,8
497,Trouser,1
497,Pullover,1
1340,Shirt,4
1340,Pullover,3
1340,T-shirt/top,2
1340,Dress,1
416,T-shirt/top,1
416,Pullover,2
416,Bag,4
416,Coat,1
416,Trouser,1
416,Shirt,1
17,Bag,7
17,Trouser,1
17,Pullover,2
1648,Bag,6
1648,Pullover,3
1648,Trouser,1
879,Trouser,1
879,Bag,6
879,Shirt,1
879,T-shirt/top,1
879,Pullover,1
717,Bag,5
717,Pullover,3
717,Trouser,1
717,T-shirt/top,1
1755,Bag,5
1755,Pullover,4
1755,Shirt,1
1710,Bag,6
1710,Trouser,1
1710,Shirt,1
1710,Pullover,1
1710,T-shirt/top,1
1085,Bag,4
1085,Shirt,3
1085,Pullover,1
1085,T-shirt/top,2
999,Bag,6
999,Pullover,3
999,Trouser,1
1301,Bag,6
1301,Pullover,3
1301,Shirt,1
801,Bag,6
801,Pullover,3
801,Shirt,1
1630,Trouser,1
1630,Bag,7
1630,Pullover,2
844,Pullover,4
844,Trouser,1
844,T-shirt/top,2
844,Bag,1
844,Shirt,1
844,Coat,1
1158,Bag,5
1158,Pullover,3
1158,Shirt,1
1158,T-shirt/top,1
306,Bag,7
306,Pullover,2
306,T-shirt/top,1
92,Pullover,3
92,T-shirt/top,1
92,Bag,5
92,Shirt,1
557,Pullover,3
557,Bag,6
557,Trouser,1
1238,Coat,1
1238,Pullover,2
1238,Shirt,2
1238,Bag,3
1238,Dress,1
1238,Trouser,1
2237,Bag,4
2237,Pullover,5
2237,Shirt,1
1019,Pullover,4
1019,T-shirt/top,1
1019,Bag,5
905,T-shirt/top,1
905,Bag,7
905,Trouser,1
905,Pullover,1
597,Pullover,3
597,Bag,6
597,Shirt,1
2093,Bag,7
2093,Pullover,1
2093,Shirt,1
2093,Trouser,1
1106,Shirt,1
1106,Bag,2
1106,Pullover,5
1106,T-shirt/top,2
2270,Pullover,3
2270,Bag,5
2270,Trouser,1
2270,T-shirt/top,1
595,Bag,7
595,Trouser,1
595,Shirt,1
595,Pullover,1
1472,Bag,4
1472,Pullover,4
1472,Trouser,1
1472,Shirt,1
1437,Bag,7
1437,Pullover,2
1437,Trouser,1
611,Pullover,3
611,Bag,5
611,Trouser,1
611,T-shirt/top,1
