neuron,label,count
1694,Trouser,8
1694,Dress,2
1200,Pullover,1
1200,Sandal,5
1200,Bag,3
1200,Coat,1
1595,Ankle boot,10
2232,Ankle boot,1
2232,T-shirt/top,2
2232,Trouser,7
2277,T-shirt/top,8
2277,Shirt,2
1669,Sandal,1
1669,Coat,2
1669,T-shirt/top,2
1669,Pullover,1
1669,Sneaker,1
1669,Shirt,3
1488,Dress,1
1488,Bag,1
1488,Coat,5
1488,T-shirt/top,1
1488,Pullover,2
2056,Bag,9
2056,T-shirt/top,1
985,Pullover,1
985,Bag,2
985,Trouser,1
985,Ankle boot,2
985,Coat,1
985,Shirt,2
985,Sandal,1
1654,Dress,7
1654,Coat,1
1654,Trouser,2
1184,Trouser,10
1846,T-shirt/top,1
1846,Bag,4
1846,Coat,3
1846,Shirt,2
1005,Dress,7
1005,Ankle boot,2
1005,T-shirt/top,1
1491,Pullover,3
1491,Shirt,2
1491,Bag,2
1491,T-shirt/top,3
1534,Pullover,9
1534,T-shirt/top,1
797,Sandal,9
797,Pullover,1
841,Pullover,5
841,Bag,3
841,Shirt,2
57,Sneaker,10
757,T-shirt/top,9
757,Trouser,1
386,Sandal,3
386,Coat,1
386,Pullover,4
386,Shirt,2
1886,Bag,6
1886,Pullover,3
1886,T-shirt/top,1
1339,Sandal,5
1339,Ankle boot,5
924,Ankle boot,2
924,Dress,3
924,Shirt,1
924,Trouser,1
924,Coat,3
122,Trouser,3
122,Dress,1
122,T-shirt/top,5
122,Pullover,1
379,Ankle boot,9
379,Shirt,1
1964,Pullover,2
1964,Bag,7
1964,T-shirt/top,1
1879,Bag,8
1879,Trouser,1
1879,Shirt,1
963,Pullover,2
963,Coat,1
963,Bag,1
963,T-shirt/top,5
963,Shirt,1
1752,Bag,7
1752,Pullover,2
1752,T-shirt/top,1
2008,Pullover,4
2008,Bag,5
2008,Trouser,1
264,Shirt,3
264,T-shirt/top,1
264,Bag,2
264,Pullover,4
574,Ankle boot,3
574,Dress,6
574,T-shirt/top,1
1343,Dress,10
1792,Shirt,3
1792,Pullover,5
1792,Bag,2
1042,Ankle boot,10
158,Pullover,6
158,Bag,1
158,T-shirt/top,2
158,Shirt,1
2229,Dress,10
95,Bag,6
95,T-shirt/top,2
95,Pullover,2
301,Dress,9
301,Sandal,1
1066,Pullover,6
1066,Coat,1
1066,T-shirt/top,1
1066,Shirt,2
238,Bag,9
238,T-shirt/top,1
550,Bag,3
550,Shirt,2
550,Pullover,4
550,T-shirt/top,1
987,Coat,2
987,Pullover,3
987,Trouser,1
987,Shirt,2
987,Bag,2
515,Dress,5
515,Trouser,5
1557,Shirt,2
1557,T-shirt/top,4
1557,Trouser,2
1557,Pullover,1
1557,Coat,1
1186,Pullover,3
1186,Dress,1
1186,Shirt,2
1186,Trouser,3
1186,Coat,1
408,Coat,1
408,Pullover,5
408,Shirt,1
408,Bag,3
867,Pullover,3
867,Ankle boot,1
867,Dress,5
867,T-shirt/top,1
71,Pullover,5
71,Coat,3
71,Shirt,2
1940,Dress,4
1940,Trouser,5
1940,T-shirt/top,1
318,Bag,10
1202,Sandal,9
1202,Sneaker,1
470,Bag,3
470,Pullover,3
470,Sneaker,1
470,Sandal,3
902,Bag,7
902,Trouser,1
902,Pullover,2
1733,Dress,10
590,T-shirt/top,7
590,Bag,1
590,Dress,2
947,Ankle boot,10
1818,Coat,1
1818,Pullover,2
1818,Bag,6
1818,T-shirt/top,1
629,Trouser,1
629,Dress,9
1283,Bag,6
