neuron,label,count
1245,T-shirt/top,8
1245,Bag,1
1245,Shirt,1
1694,Bag,6
1694,Pullover,2
1694,Shirt,1
1694,T-shirt/top,1
437,T-shirt/top,3
437,Pullover,2
437,Bag,4
437,Dress,1
1200,Bag,7
1200,Trouser,1
1200,Shirt,1
1200,Pullover,1
472,Pullover,2
472,Bag,5
472,T-shirt/top,1
472,Shirt,1
472,Coat,1
2133,Trouser,1
2133,Bag,4
2133,Pullover,4
2133,Shirt,1
2176,Bag,6
2176,Pullover,2
2176,Shirt,1
2176,T-shirt/top,1
1568,Shirt,2
1568,Bag,2
1568,Pullover,3
1568,T-shirt/top,2
1568,Sandal,1
736,Bag,3
736,Pullover,3
736,Sandal,2
736,Dress,1
736,Shirt,1
1595,Bag,4
1595,Pullover,5
1595,Shirt,1
1144,Coat,2
1144,Pullover,2
1144,Dress,2
1144,Shirt,2
1144,Sandal,1
1144,Trouser,1
1907,Bag,4
1907,Pullover,2
1907,T-shirt/top,1
1907,Shirt,3
773,Pullover,3
773,Bag,5
773,T-shirt/top,1
773,Coat,1
1101,Bag,4
1101,Pullover,2
1101,Shirt,1
1101,T-shirt/top,2
1101,Trouser,1
1942,Bag,1
1942,Trouser,1
1942,Pullover,2
1942,Shirt,2
1942,Coat,1
1942,Ankle boot,2
1942,T-shirt/top,1
2277,T-shirt/top,6
2277,Shirt,3
2277,Dress,1
36,Bag,4
36,Trouser,1
36,T-shirt/top,2
36,Dress,2
36,Shirt,1
73,Pullover,2
73,T-shirt/top,4
73,Trouser,2
73,Bag,1
73,Shirt,1
1669,Bag,4
1669,T-shirt/top,5
1669,Shirt,1
858,Bag,2
858,Trouser,2
858,T-shirt/top,3
858,Ankle boot,1
858,Dress,1
858,Pullover,1
1059,Bag,3
1059,T-shirt/top,2
1059,Shirt,1
1059,Dress,2
1059,Ankle boot,2
1488,T-shirt/top,1
1488,Bag,6
1488,Pullover,2
1488,Trouser,1
143,Bag,8
143,Trouser,2
900,Bag,2
900,Pullover,1
900,Shirt,2
900,T-shirt/top,5
1731,Coat,2
1731,Bag,4
1731,Pullover,1
1731,Ankle boot,1
1731,Shirt,2
592,Pullover,2
592,Bag,5
592,T-shirt/top,3
106,Bag,6
106,Pullover,3
106,Dress,1
945,Bag,6
945,T-shirt/top,3
945,Pullover,1
1774,Bag,3
1774,Dress,1
1774,T-shirt/top,6
2096,Bag,5
2096,Pullover,3
2096,T-shirt/top,1
2096,Shirt,1
1789,T-shirt/top,2
1789,Pullover,1
1789,Shirt,2
1789,Sandal,2
1789,Bag,2
1789,Sneaker,1
1358,T-shirt/top,3
1358,Coat,1
1358,Pullover,1
1358,Bag,4
1358,Shirt,1
693,Bag,6
693,Pullover,2
693,Dress,2
1430,Bag,7
1430,Trouser,1
1430,Shirt,1
1430,Pullover,1
242,Pullover,4
242,Shirt,1
242,Dress,3
242,Bag,1
242,T-shirt/top,1
1475,Shirt,1
1475,Dress,1
1475,Bag,2
1475,T-shirt/top,2
1475,Pullover,4
207,Ankle boot,4
207,Shirt,1
207,Dress,4
207,T-shirt/top,1
2056,Bag,6
2056,Pullover,4
2013,Pullover,5
2013,Shirt,2
2013,Bag,2
2013,T-shirt/top,1
1320,Pullover,2
1320,Bag,6
1320,T-shirt/top,2
552,Coat,1
552,Bag,2
552,Pullover,5
552,Shirt,1
552,T-shirt/top,1
985,Pullover,3
985,Shirt,1
985,Dress,5
985,Bag,1
1365,Pullover,3
1365,Shirt,2
1365,Bag,2
1365,Trouser,1
1365,Dress,1
1365,T-shirt/top,1
1099,Shirt,5
1099,Pullover,2
1099,T-shirt/top,3
1448,Bag,7
1448,Dress,3
653,Dress,7
653,Shirt,1
653,T-shirt/top,2
1862,Bag,5
1862,Pullover,2
1862,T-shirt/top,1
1862,Trouser,1
1862,Shirt,1
282,Bag,6
282,Pullover,3
282,Shirt,1
1021,Bag,7
1021,Pullover,2
1021,T-shirt/top,1
1827,T-shirt/top,1
1827,Pullover,2
1827,Bag,6
1827,Shirt,1
1064,Shirt,2
1064,Bag,3
1064,Trouser,1
1064,Dress,3
1064,Coat,1
1749,Bag,7
1749,Pullover,1
1749,Shirt,1
1749,Ankle boot,1
978,Shirt,1
978,Bag,3
978,Pullover,6
1398,Bag,5
1398,Pullover,2
1398,T-shirt/top,2
1398,Ankle boot,1
1179,Shirt,3
1179,Pullover,3
1179,Sandal,1
1179,T-shirt/top,2
1179,Trouser,1
1285,Bag,2
1285,Shirt,2
1285,Trouser,1
1285,Pullover,2
1285,Coat,2
1285,T-shirt/top,1
865,Bag,6
865,Pullover,3
865,T-shirt/top,1
1654,Bag,7
1654,Trouser,1
1654,Pullover,2
1611,Pullover,3
1611,Bag,5
1611,Shirt,1
1611,Coat,1
1278,Bag,4
1278,Shirt,1
1278,Pullover,3
1278,Trouser,1
1278,Coat,1
898,Bag,8
898,Trouser,1
898,Shirt,1
1555,Pullover,3
1555,T-shirt/top,1
1555,Bag,5
1555,Shirt,1
327,Dress,5
327,Bag,1
327,Ankle boot,1
327,T-shirt/top,2
327,Shirt,1
1184,Bag,1
1184,Dress,8
1184,Shirt,1
1510,Coat,1
1510,T-shirt/top,1
1510,Pullover,4
1510,Bag,3
1510,Shirt,1
362,T-shirt/top,2
362,Shirt,3
362,Bag,5
1982,Bag,5
1982,Pullover,3
1982,T-shirt/top,1
1982,Coat,1
1728,T-shirt/top,1
1728,Bag,7
1728,Pullover,2
919,Bag,7
919,Trouser,1
919,Shirt,1
919,Pullover,1
677,Shirt,1
677,T-shirt/top,6
677,Coat,1
677,Dress,2
1846,Pullover,6
1846,Bag,3
1846,Shirt,1
1005,Pullover,6
1005,Bag,3
1005,Shirt,1
1491,Pullover,2
1491,Bag,6
1491,Trouser,1
1491,T-shirt/top,1
632,Trouser,1
632,Bag,5
632,Pullover,3
632,Shirt,1
1803,Bag,4
1803,Pullover,2
1803,Trouser,1
1803,T-shirt/top,2
1803,Dress,1
1040,Pullover,3
1040,Bag,7
5,Bag,1
5,Shirt,2
5,T-shirt/top,3
5,Dress,2
5,Sandal,1
5,Trouser,1
1429,Coat,1
1429,T-shirt/top,4
1429,Bag,2
1429,Pullover,1
1429,Sandal,1
1429,Dress,1
2072,Bag,5
2072,Pullover,4
2072,Shirt,1
2037,Bag,5
2037,Trouser,2
2037,Pullover,2
2037,Shirt,1
1304,Sandal,1
1304,T-shirt/top,6
1304,Pullover,1
1304,Shirt,1
1304,Trouser,1
576,T-shirt/top,1
576,Pullover,3
576,Bag,2
576,Dress,4
1341,Pullover,7
1341,T-shirt/top,1
1341,Bag,2
533,Pullover,2
533,Shirt,5
533,Ankle boot,1
533,Coat,1
533,T-shirt/top,1
1790,Bag,6
1790,Shirt,1
1790,Trouser,1
1790,T-shirt/top,1
1790,Pullover,1
