neuron,label,count
1320,Pullover,2
1320,Bag,5
1320,T-shirt/top,1
1320,Trouser,1
1320,Shirt,1
1179,Bag,7
1179,Pullover,2
1179,Trouser,1
1982,Pullover,2
1982,Bag,6
1982,T-shirt/top,1
1982,Shirt,1
2216,T-shirt/top,1
2216,Bag,5
2216,Trouser,1
2216,Pullover,2
2216,Shirt,1
158,Bag,4
158,Shirt,1
158,Pullover,4
158,Trouser,1
906,Bag,7
906,Pullover,2
906,T-shirt/top,1
1960,Bag,8
1960,Pullover,2
163,Bag,5
163,Pullover,2
163,T-shirt/top,1
163,Shirt,1
163,Trouser,1
1489,Bag,7
1489,Pullover,2
1489,Trouser,1
1569,Bag,6
1569,T-shirt/top,1
1569,Trouser,1
1569,Pullover,2
1340,Bag,5
1340,T-shirt/top,1
1340,Pullover,4
416,Pullover,3
416,Bag,6
416,Shirt,1
1630,Bag,6
1630,Pullover,2
1630,T-shirt/top,1
1630,Trouser,1
2241,Pullover,3
2241,Bag,4
2241,Shirt,1
2241,T-shirt/top,1
2241,Trouser,1
479,Bag,6
479,Pullover,3
479,Trouser,1
2060,Pullover,3
2060,Bag,6
2060,Shirt,1
971,Bag,7
971,Pullover,3
2066,Bag,5
2066,T-shirt/top,1
2066,Pullover,3
2066,Shirt,1
988,Bag,5
988,Pullover,3
988,Shirt,1
988,Trouser,1
1815,Bag,6
1815,Pullover,3
1815,T-shirt/top,1
2045,Pullover,2
2045,Bag,7
2045,Trouser,1
2024,Pullover,2
2024,Shirt,2
2024,Coat,1
2024,Bag,5
1403,Bag,6
1403,Pullover,3
1403,Shirt,1
2124,Bag,8
2124,Pullover,1
2124,Trouser,1
1540,Bag,6
1540,Shirt,1
1540,Trouser,1
1540,Pullover,2
808,Pullover,5
808,Bag,4
808,Shirt,1
